px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor_type
8.32156	-13.2348	-2.44279	0.284436	-1.21972	8.22926	-13.1698	8.2	-13.15	-2.72741	0	9.9519	R
8.16029	-13.2551	-2.474	0.196294	-1.23766	8.03583	-13.1513	8.05	-13.15	-2.72742	0	1.40084	L
7.99335	-13.2619	-2.54073	0.0937454	-1.28078	7.82914	-13.0525	7.9	-13.15	-2.72986	0	1.85095	R
7.83806	-13.2552	-2.55347	0.00918151	-1.293	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0.711205	L
7.77207	-13.2745	-2.35451	0.00309511	-1.21074	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	6.918	R
7.60691	-13.2778	-2.44383	-0.0627609	-1.21067	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	1.4839	L
7.4635	-13.2575	-2.45747	-0.135894	-1.21593	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.898216	R
7.28914	-13.244	-2.53792	-0.199504	-1.209	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0.976735	L
7.12215	-13.1853	-2.69512	-0.295582	-1.25676	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	4.21776	R
6.95899	-13.151	-2.76241	-0.351004	-1.24676	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0.712548	L
6.82425	-13.105	-2.72969	-0.41006	-1.23451	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.313517	R
6.65454	-13.0533	-2.79066	-0.464474	-1.21961	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0.583342	L
6.56764	-13.025	-2.50377	-0.495348	-1.16177	6.40137	-13.0799	6.4	-13.05	-2.72678	0	9.30766	R
6.39523	-12.9853	-2.5876	-0.527509	-1.12986	6.26174	-13.0534	6.25	-13.05	-2.72678	0	1.404	L
6.28424	-12.9285	-2.4971	-0.576181	-1.10996	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	1.24946	R
6.10609	-12.8822	-2.58925	-0.597383	-1.07085	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	1.96986	L
5.95595	-12.7716	-2.85086	-0.667594	-1.10289	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	6.76557	R
5.79254	-12.7019	-2.92108	-0.690803	-1.07146	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	1.31483	L
5.70096	-12.6402	-2.65342	-0.725452	-1.03069	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	8.30622	R
